cheatDeviceID,systemID,cheatDeviceName,cheatDeviceBrandName,cheatDeviceFormat
1,24,Action Replay DS,Action Replay,XXXXXXXX YYYYYYYY
2,24,Codebreaker DS,Codebreaker,XXXXXXXX YYYYYYYY
3,20,GameShark Advance / Action Replay (v1/v2),GameShark,XXXXXXXX YYYYYYYY
4,20,Action Replay (v3/v4),Action Replay,XXXXXXXX YYYYYYYY
5,20,Codebreaker Advance / GameShark SP ,Codebreaker,XXXXXXXX YYYY
