cheatDeviceID,systemID,cheatDeviceName,cheatDeviceBrandName,cheatDeviceFormat
,24,Action Replay DS,Action Replay,XXXXXXXX YYYYYYYY
,24,Codebreaker DS,Codebreaker,XXXXXXXX YYYYYYYY
,20,GameShark Advance / Action Replay (v1/v2),GameShark,XXXXXXXX YYYYYYYY
,20,Action Replay (v3/v4),Action Replay,XXXXXXXX YYYYYYYY
,20,Codebreaker Advance / GameShark SP ,Codebreaker,XXXXXXXX YYYY
